iso3code_i,iso3code_j,n_missing,missing_years,tecnica,fuente_alt,n_overlap_rescale,n_interpolable,notas,n_gtmd2,n_unwto_missing
BOL,ARG,0,,—  sin faltantes,,,,,,
BRA,ARG,0,,—  sin faltantes,,,,,,
CHL,ARG,0,,—  sin faltantes,,,,,,
COL,ARG,21,"[1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015]",D) Sin imputación posible,—,7,0,"sin UNWTO, sin fuente alternativa, sin datos adyacentes",7.0,0.0
ECU,ARG,21,"[1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015]",D) Sin imputación posible,—,7,0,"sin UNWTO, sin fuente alternativa, sin datos adyacentes",7.0,0.0
PER,ARG,21,"[1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015]",D) Sin imputación posible,—,7,0,"sin UNWTO, sin fuente alternativa, sin datos adyacentes",7.0,0.0
PRY,ARG,0,,—  sin faltantes,,,,,,
URY,ARG,0,,—  sin faltantes,,,,,,
VEN,ARG,21,"[1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015]",D) Sin imputación posible,—,7,0,"sin UNWTO, sin fuente alternativa, sin datos adyacentes",7.0,0.0
ARG,BOL,0,,—  sin faltantes,,,,,,
BRA,BOL,0,,—  sin faltantes,,,,,,
CHL,BOL,0,,—  sin faltantes,,,,,,
COL,BOL,0,,—  sin faltantes,,,,,,
ECU,BOL,0,,—  sin faltantes,,,,,,
PER,BOL,0,,—  sin faltantes,,,,,,
PRY,BOL,0,,—  sin faltantes,,,,,,
URY,BOL,0,,—  sin faltantes,,,,,,
VEN,BOL,0,,—  sin faltantes,,,,,,
ARG,BRA,0,,—  sin faltantes,,,,,,
BOL,BRA,0,,—  sin faltantes,,,,,,
CHL,BRA,0,,—  sin faltantes,,,,,,
COL,BRA,0,,—  sin faltantes,,,,,,
ECU,BRA,0,,—  sin faltantes,,,,,,
PER,BRA,0,,—  sin faltantes,,,,,,
PRY,BRA,0,,—  sin faltantes,,,,,,
URY,BRA,0,,—  sin faltantes,,,,,,
VEN,BRA,0,,—  sin faltantes,,,,,,
ARG,CHL,0,,—  sin faltantes,,,,,,
BOL,CHL,0,,—  sin faltantes,,,,,,
BRA,CHL,0,,—  sin faltantes,,,,,,
COL,CHL,0,,—  sin faltantes,,,,,,
ECU,CHL,0,,—  sin faltantes,,,,,,
PER,CHL,0,,—  sin faltantes,,,,,,
PRY,CHL,0,,—  sin faltantes,,,,,,
URY,CHL,0,,—  sin faltantes,,,,,,
VEN,CHL,0,,—  sin faltantes,,,,,,
ARG,COL,0,,—  sin faltantes,,,,,,
