code_i,code_j,iso3code_i,iso3code_j,iso3code_ij,country_i,country_j,year,mflow,mstock,vflow_new,vflow_new_source,gtmd2_vflow_int,mercosur1,mercosur2,argfmrs,ecuven,braury,can1,can2,FMR_all,FMR_Mercosur,FMR_Mercosur_CAN,code_ij,un_region_inter_i,un_region_inter_j
32,68,ARG,BOL,ARG_BOL,Argentina,Bolivia (Plurinational State of),1995,3340.9446,24333.94,523292.53,gtmd2_vflow_int,523292.53,0,0,0,0,0,0,0,0,0,0,1,5,5
32,68,ARG,BOL,ARG_BOL,Argentina,Bolivia (Plurinational State of),1996,2940.6667,25470.326,587587.5,gtmd2_vflow_int,587587.5,0,0,0,0,0,0,0,0,0,0,1,5,5
32,68,ARG,BOL,ARG_BOL,Argentina,Bolivia (Plurinational State of),1997,3516.7688,25931.643,699757.69,gtmd2_vflow_int,699757.69,0,0,0,0,0,0,0,0,0,0,1,5,5
32,68,ARG,BOL,ARG_BOL,Argentina,Bolivia (Plurinational State of),1998,2731.4863,26724.006,727586.31,gtmd2_vflow_int,727586.31,0,0,0,0,0,0,0,0,0,0,1,5,5
32,68,ARG,BOL,ARG_BOL,Argentina,Bolivia (Plurinational State of),1999,4053.849,26936.084,667494.31,gtmd2_vflow_int,667494.31,0,0,1,0,0,0,0,1,0,0,1,5,5
32,68,ARG,BOL,ARG_BOL,Argentina,Bolivia (Plurinational State of),2000,3718.7761,27988.766,619709.19,gtmd2_vflow_int,619709.19,0,0,1,0,0,0,0,1,0,0,1,5,5
32,68,ARG,BOL,ARG_BOL,Argentina,Bolivia (Plurinational State of),2001,5483.807,29839.555,600446.06,gtmd2_vflow_int,600446.06,0,0,1,0,0,0,0,1,0,0,1,5,5
32,68,ARG,BOL,ARG_BOL,Argentina,Bolivia (Plurinational State of),2002,9882.413,31254.406,521082.72,gtmd2_vflow_int,521082.72,0,0,1,0,0,0,0,1,0,0,1,5,5
32,68,ARG,BOL,ARG_BOL,Argentina,Bolivia (Plurinational State of),2003,7254.179,31983.715,474382.5,gtmd2_vflow_int,474382.5,0,0,1,0,0,0,0,1,0,0,1,5,5
32,68,ARG,BOL,ARG_BOL,Argentina,Bolivia (Plurinational State of),2004,6524.3604,32682.613,534317.19,gtmd2_vflow_int,534317.19,0,0,1,0,0,0,0,1,0,0,1,5,5
32,68,ARG,BOL,ARG_BOL,Argentina,Bolivia (Plurinational State of),2005,8128.852,33514.29,594907.0,gtmd2_vflow_int,594907.0,0,0,1,0,0,0,0,1,0,0,1,5,5
32,68,ARG,BOL,ARG_BOL,Argentina,Bolivia (Plurinational State of),2006,6826.5234,34550.91,478166.09,gtmd2_vflow_int,478166.09,0,0,1,0,0,0,0,1,0,0,1,5,5
32,68,ARG,BOL,ARG_BOL,Argentina,Bolivia (Plurinational State of),2007,8485.755,35526.613,618885.13,gtmd2_vflow_int,618885.13,0,0,1,0,0,0,0,1,0,0,1,5,5
32,68,ARG,BOL,ARG_BOL,Argentina,Bolivia (Plurinational State of),2008,6530.8853,36658.6,483886.72,gtmd2_vflow_int,483886.72,0,0,1,0,0,0,0,1,0,0,1,5,5
32,68,ARG,BOL,ARG_BOL,Argentina,Bolivia (Plurinational State of),2009,6335.6187,37265.4,655503.31,gtmd2_vflow_int,655503.31,0,1,1,0,0,0,0,1,1,1,1,5,5
32,68,ARG,BOL,ARG_BOL,Argentina,Bolivia (Plurinational State of),2010,13332.381,38380.035,815240.19,gtmd2_vflow_int,815240.19,0,1,1,0,0,0,0,1,1,1,1,5,5
32,68,ARG,BOL,ARG_BOL,Argentina,Bolivia (Plurinational State of),2011,9836.799,39276.473,825006.0,gtmd2_vflow_int,825006.0,0,1,1,0,0,0,0,1,1,1,1,5,5
32,68,ARG,BOL,ARG_BOL,Argentina,Bolivia (Plurinational State of),2012,8488.492,40171.32,994404.56,gtmd2_vflow_int,994404.56,0,1,1,0,0,0,0,1,1,1,1,5,5
32,68,ARG,BOL,ARG_BOL,Argentina,Bolivia (Plurinational State of),2013,8776.279,41196.78,990374.75,gtmd2_vflow_int,990374.75,0,1,1,0,0,0,0,1,1,1,1,5,5
32,68,ARG,BOL,ARG_BOL,Argentina,Bolivia (Plurinational State of),2014,8363.9,41866.742,1085835.5,gtmd2_vflow_int,1085835.5,0,1,1,0,0,0,0,1,1,1,1,5,5
32,68,ARG,BOL,ARG_BOL,Argentina,Bolivia (Plurinational State of),2015,8818.838,43175.48,1140016.3,gtmd2_vflow_int,1140016.3,0,1,1,0,0,0,0,1,1,1,1,5,5
32,68,ARG,BOL,ARG_BOL,Argentina,Bolivia (Plurinational State of),2016,8145.291,43993.324,1277388.5,gtmd2_vflow_int,1277388.5,0,1,1,0,0,0,0,1,1,1,1,5,5
32,68,ARG,BOL,ARG_BOL,Argentina,Bolivia (Plurinational State of),2017,9807.297,44963.137,1901273.8,gtmd2_vflow_int,1901273.8,0,1,0,0,0,0,0,1,1,1,1,5,5
32,68,ARG,BOL,ARG_BOL,Argentina,Bolivia (Plurinational State of),2018,10266.597,45775.562,1931088.8,gtmd2_vflow_int,1931088.8,0,1,0,0,0,0,0,1,1,1,1,5,5
